"Nomenclature","ReporterCode","ReporterISO3","ReporterName","ProductCode","PartnerCode","PartnerISO3","PartnerName","Year","TradeFlowName","TradeValue in 1000 USD","ProductDescription","TradeFlow","Quantity","ShortName","NetWeight in KGM"
"H5","608","PHL","Philippines","01","000","WLD","World",2022,"Gross Exports",1747.1,"Animals; live",2,0,"N.Q.",
"H5","608","PHL","Philippines","01","036","AUS","Australia",2022,"Gross Exports",0.1,"Animals; live",2,0,"N.Q.",
"H5","608","PHL","Philippines","01","116","KHM","Cambodia",2022,"Gross Exports",86.3,"Animals; live",2,0,"N.Q.",0
"H5","608","PHL","Philippines","01","124","CAN","Canada",2022,"Gross Exports",73.946,"Animals; live",2,0,"N.Q.",0
"H5","608","PHL","Philippines","01","170","COL","Colombia",2022,"Gross Exports",0.6,"Animals; live",2,0,"N.Q.",0
"H5","608","PHL","Philippines","01","251","FRA","France+Monac",2022,"Gross Exports",22.104,"Animals; live",2,0,"N.Q.",0
"H5","608","PHL","Philippines","01","276","DEU","Germany",2022,"Gross Exports",10.7,"Animals; live",2,0,"N.Q.",
"H5","608","PHL","Philippines","01","316","GUM","Guam",2022,"Gross Exports",0.8,"Animals; live",2,0,"N.Q.",
"H5","608","PHL","Philippines","01","344","HKG","Hong Kong",2022,"Gross Exports",4.188,"Animals; live",2,0,"N.Q.",
"H5","608","PHL","Philippines","01","380","ITA","Italy",2022,"Gross Exports",0.1,"Animals; live",2,0,"N.Q.",
"H5","608","PHL","Philippines","01","392","JPN","Japan",2022,"Gross Exports",29.983,"Animals; live",2,0,"N.Q.",
"H5","608","PHL","Philippines","01","410","KOR","Korea Rep.",2022,"Gross Exports",7.12,"Animals; live",2,0,"N.Q.",
"H5","608","PHL","Philippines","01","462","MDV","Maldives",2022,"Gross Exports",0.9,"Animals; live",2,0,"N.Q.",
"H5","608","PHL","Philippines","01","490","OAS","Asia Othr.ns",2022,"Gross Exports",193.2,"Animals; live",2,0,"N.Q.",
"H5","608","PHL","Philippines","01","528","NLD","Netherlands",2022,"Gross Exports",24.535,"Animals; live",2,0,"N.Q.",0
"H5","608","PHL","Philippines","01","554","NZL","New Zealand",2022,"Gross Exports",8.296,"Animals; live",2,0,"N.Q.",0
"H5","608","PHL","Philippines","01","586","PAK","Pakistan",2022,"Gross Exports",4.72,"Animals; live",2,0,"N.Q.",
"H5","608","PHL","Philippines","01","598","PNG","Papua N.Guin",2022,"Gross Exports",0.1,"Animals; live",2,0,"N.Q.",
"H5","608","PHL","Philippines","01","643","RUS","Russian Fed",2022,"Gross Exports",30.415,"Animals; live",2,0,"N.Q.",0
"H5","608","PHL","Philippines","01","682","SAU","Saudi Arabia",2022,"Gross Exports",0.362,"Animals; live",2,0,"N.Q.",0
"H5","608","PHL","Philippines","01","702","SGP","Singapore",2022,"Gross Exports",7.29,"Animals; live",2,0,"N.Q.",0
"H5","608","PHL","Philippines","01","710","ZAF","South Africa",2022,"Gross Exports",0.9,"Animals; live",2,0,"N.Q.",0
"H5","608","PHL","Philippines","01","764","THA","Thailand",2022,"Gross Exports",12.69,"Animals; live",2,0,"N.Q.",
"H5","608","PHL","Philippines","01","784","ARE","Untd Arab Em",2022,"Gross Exports",16.84,"Animals; live",2,0,"N.Q.",0
"H5","608","PHL","Philippines","01","792","TUR","Turkey",2022,"Gross Exports",28.253,"Animals; live",2,0,"N.Q.",0
"H5","608","PHL","Philippines","01","826","GBR","Untd.Kingdom",2022,"Gross Exports",41.789,"Animals; live",2,0,"N.Q.",0
"H5","608","PHL","Philippines","01","842","USA","USA,PR,USVI",2022,"Gross Exports",1139.969,"Animals; live",2,0,"N.Q.",0
