"Nomenclature","ReporterCode","ReporterISO3","ReporterName","ProductCode","PartnerCode","PartnerISO3","PartnerName","Year","TradeFlowName","TradeValue in 1000 USD","ProductDescription","TradeFlow","Quantity","ShortName","NetWeight in KGM"
"H5","608","PHL","Philippines","01","000","WLD","World",2024,"Gross Imports",29114.928,"Animals; live",1,0,"N.Q.",
"H5","608","PHL","Philippines","01","036","AUS","Australia",2024,"Gross Imports",27954.647,"Animals; live",1,0,"N.Q.",0
"H5","608","PHL","Philippines","01","056","BEL","Belgium",2024,"Gross Imports",32.278,"Animals; live",1,0,"N.Q.",
"H5","608","PHL","Philippines","01","124","CAN","Canada",2024,"Gross Imports",46.633,"Animals; live",1,0,"N.Q.",
"H5","608","PHL","Philippines","01","348","HUN","Hungary",2024,"Gross Imports",60.616,"Animals; live",1,0,"N.Q.",
"H5","608","PHL","Philippines","01","528","NLD","Netherlands",2024,"Gross Imports",524.235,"Animals; live",1,0,"N.Q.",
"H5","608","PHL","Philippines","01","724","ESP","Spain",2024,"Gross Imports",60.65,"Animals; live",1,0,"N.Q.",
"H5","608","PHL","Philippines","01","842","USA","USA,PR,USVI",2024,"Gross Imports",435.869,"Animals; live",1,0,"N.Q.",
"H5","608","PHL","Philippines","02","000","WLD","World",2024,"Gross Imports",2061780.22,"Meat and edible meat offal",1,0,"N.Q.",0
"H5","608","PHL","Philippines","02","032","ARG","Argentina",2024,"Gross Imports",3252.849,"Meat and edible meat offal",1,0,"N.Q.",0
"H5","608","PHL","Philippines","02","036","AUS","Australia",2024,"Gross Imports",141500.765,"Meat and edible meat offal",1,0,"N.Q.",0
"H5","608","PHL","Philippines","02","040","AUT","Austria",2024,"Gross Imports",3250.962,"Meat and edible meat offal",1,0,"N.Q.",0
"H5","608","PHL","Philippines","02","056","BEL","Belgium",2024,"Gross Imports",32133.773,"Meat and edible meat offal",1,0,"N.Q.",0
"H5","608","PHL","Philippines","02","076","BRA","Brazil",2024,"Gross Imports",775111.896,"Meat and edible meat offal",1,0,"N.Q.",0
"H5","608","PHL","Philippines","02","124","CAN","Canada",2024,"Gross Imports",159656.316,"Meat and edible meat offal",1,0,"N.Q.",0
"H5","608","PHL","Philippines","02","152","CHL","Chile",2024,"Gross Imports",11415.047,"Meat and edible meat offal",1,0,"N.Q.",0
"H5","608","PHL","Philippines","02","208","DNK","Denmark",2024,"Gross Imports",42188.561,"Meat and edible meat offal",1,0,"N.Q.",0
"H5","608","PHL","Philippines","02","251","FRA","France+Monac",2024,"Gross Imports",61070.089,"Meat and edible meat offal",1,0,"N.Q.",0
"H5","608","PHL","Philippines","02","268","GEO","Georgia",2024,"Gross Imports",28.07,"Meat and edible meat offal",1,0,"N.Q.",0
"H5","608","PHL","Philippines","02","276","DEU","Germany",2024,"Gross Imports",6246.925,"Meat and edible meat offal",1,0,"N.Q.",0
"H5","608","PHL","Philippines","02","372","IRL","Ireland",2024,"Gross Imports",35653.31,"Meat and edible meat offal",1,0,"N.Q.",0
"H5","608","PHL","Philippines","02","380","ITA","Italy",2024,"Gross Imports",8.384,"Meat and edible meat offal",1,0,"N.Q.",0
"H5","608","PHL","Philippines","02","392","JPN","Japan",2024,"Gross Imports",2538.528,"Meat and edible meat offal",1,0,"N.Q.",0
"H5","608","PHL","Philippines","02","400","JOR","Jordan",2024,"Gross Imports",0.781,"Meat and edible meat offal",1,0,"N.Q.",0
"H5","608","PHL","Philippines","02","410","KOR","Korea Rep.",2024,"Gross Imports",1.085,"Meat and edible meat offal",1,0,"N.Q.",0
"H5","608","PHL","Philippines","02","490","OAS","Asia Othr.ns",2024,"Gross Imports",1518.249,"Meat and edible meat offal",1,0,"N.Q.",0
"H5","608","PHL","Philippines","02","528","NLD","Netherlands",2024,"Gross Imports",86875.84,"Meat and edible meat offal",1,0,"N.Q.",0
"H5","608","PHL","Philippines","02","554","NZL","New Zealand",2024,"Gross Imports",31717.894,"Meat and edible meat offal",1,0,"N.Q.",0
"H5","608","PHL","Philippines","02","616","POL","Poland",2024,"Gross Imports",21748.639,"Meat and edible meat offal",1,0,"N.Q.",0
"H5","608","PHL","Philippines","02","699","IND","India",2024,"Gross Imports",128947.899,"Meat and edible meat offal",1,0,"N.Q.",0
"H5","608","PHL","Philippines","02","704","VNM","Viet Nam",2024,"Gross Imports",1.488,"Meat and edible meat offal",1,0,"N.Q.",0
"H5","608","PHL","Philippines","02","724","ESP","Spain",2024,"Gross Imports",197458.599,"Meat and edible meat offal",1,0,"N.Q.",0
"H5","608","PHL","Philippines","02","792","TUR","Turkey",2024,"Gross Imports",336.742,"Meat and edible meat offal",1,0,"N.Q.",0
"H5","608","PHL","Philippines","02","826","GBR","Untd.Kingdom",2024,"Gross Imports",27059.261,"Meat and edible meat offal",1,0,"N.Q.",0
"H5","608","PHL","Philippines","02","842","USA","USA,PR,USVI",2024,"Gross Imports",292058.268,"Meat and edible meat offal",1,0,"N.Q.",0
"H5","608","PHL","Philippines","03","000","WLD","World",2024,"Gross Imports",712921.326,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,0,"N.Q.",0
"H5","608","PHL","Philippines","03","036","AUS","Australia",2024,"Gross Imports",1003.093,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,0,"N.Q.",0
"H5","608","PHL","Philippines","03","050","BGD","Bangladesh",2024,"Gross Imports",44.93,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,0,"N.Q.",0
"H5","608","PHL","Philippines","03","076","BRA","Brazil",2024,"Gross Imports",36.712,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,0,"N.Q.",0
