"Nomenclature","ReporterCode","ReporterISO3","ReporterName","ProductCode","PartnerCode","PartnerISO3","PartnerName","Year","TradeFlowName","TradeValue in 1000 USD","ProductDescription","TradeFlow","Quantity","ShortName","NetWeight in KGM"
"H5","608","PHL","Philippines","01","000","WLD","World",2021,"Gross Exports",1101.146,"Animals; live",2,0,"N.Q.",
"H5","608","PHL","Philippines","01","116","KHM","Cambodia",2021,"Gross Exports",95.17,"Animals; live",2,0,"N.Q.",0
"H5","608","PHL","Philippines","01","124","CAN","Canada",2021,"Gross Exports",25.059,"Animals; live",2,0,"N.Q.",0
"H5","608","PHL","Philippines","01","156","CHN","China",2021,"Gross Exports",4.63,"Animals; live",2,0,"N.Q.",0
"H5","608","PHL","Philippines","01","251","FRA","France+Monac",2021,"Gross Exports",23.643,"Animals; live",2,0,"N.Q.",0
"H5","608","PHL","Philippines","01","276","DEU","Germany",2021,"Gross Exports",4.148,"Animals; live",2,0,"N.Q.",
"H5","608","PHL","Philippines","01","316","GUM","Guam",2021,"Gross Exports",3.2,"Animals; live",2,0,"N.Q.",0
"H5","608","PHL","Philippines","01","344","HKG","Hong Kong",2021,"Gross Exports",84.885,"Animals; live",2,0,"N.Q.",0
"H5","608","PHL","Philippines","01","360","IDN","Indonesia",2021,"Gross Exports",0.9,"Animals; live",2,0,"N.Q.",
"H5","608","PHL","Philippines","01","368","IRQ","Iraq",2021,"Gross Exports",0.72,"Animals; live",2,0,"N.Q.",
"H5","608","PHL","Philippines","01","392","JPN","Japan",2021,"Gross Exports",99.692,"Animals; live",2,0,"N.Q.",0
"H5","608","PHL","Philippines","01","410","KOR","Korea Rep.",2021,"Gross Exports",47.555,"Animals; live",2,0,"N.Q.",
"H5","608","PHL","Philippines","01","414","KWT","Kuwait",2021,"Gross Exports",0.9,"Animals; live",2,0,"N.Q.",0
"H5","608","PHL","Philippines","01","422","LBN","Lebanon",2021,"Gross Exports",4.2,"Animals; live",2,0,"N.Q.",
"H5","608","PHL","Philippines","01","458","MYS","Malaysia",2021,"Gross Exports",0.4,"Animals; live",2,0,"N.Q.",0
"H5","608","PHL","Philippines","01","462","MDV","Maldives",2021,"Gross Exports",0.68,"Animals; live",2,0,"N.Q.",
"H5","608","PHL","Philippines","01","490","OAS","Asia Othr.ns",2021,"Gross Exports",283.051,"Animals; live",2,0,"N.Q.",0
"H5","608","PHL","Philippines","01","528","NLD","Netherlands",2021,"Gross Exports",2.092,"Animals; live",2,0,"N.Q.",0
"H5","608","PHL","Philippines","01","554","NZL","New Zealand",2021,"Gross Exports",12.255,"Animals; live",2,0,"N.Q.",0
"H5","608","PHL","Philippines","01","566","NGA","Nigeria",2021,"Gross Exports",0.097,"Animals; live",2,0,"N.Q.",0
"H5","608","PHL","Philippines","01","579","NOR","Norway,Sb,JM",2021,"Gross Exports",0.1,"Animals; live",2,0,"N.Q.",0
"H5","608","PHL","Philippines","01","586","PAK","Pakistan",2021,"Gross Exports",4.2,"Animals; live",2,0,"N.Q.",
"H5","608","PHL","Philippines","01","634","QAT","Qatar",2021,"Gross Exports",0.6,"Animals; live",2,0,"N.Q.",0
"H5","608","PHL","Philippines","01","643","RUS","Russian Fed",2021,"Gross Exports",4.826,"Animals; live",2,0,"N.Q.",0
"H5","608","PHL","Philippines","01","702","SGP","Singapore",2021,"Gross Exports",25.03,"Animals; live",2,0,"N.Q.",
"H5","608","PHL","Philippines","01","704","VNM","Viet Nam",2021,"Gross Exports",6.7,"Animals; live",2,0,"N.Q.",0
"H5","608","PHL","Philippines","01","764","THA","Thailand",2021,"Gross Exports",34.477,"Animals; live",2,0,"N.Q.",0
"H5","608","PHL","Philippines","01","784","ARE","Untd Arab Em",2021,"Gross Exports",3.22,"Animals; live",2,0,"N.Q.",0
"H5","608","PHL","Philippines","01","804","UKR","Ukraine",2021,"Gross Exports",0.302,"Animals; live",2,0,"N.Q.",0
"H5","608","PHL","Philippines","01","826","GBR","Untd.Kingdom",2021,"Gross Exports",3.306,"Animals; live",2,0,"N.Q.",0
"H5","608","PHL","Philippines","01","842","USA","USA,PR,USVI",2021,"Gross Exports",325.108,"Animals; live",2,0,"N.Q.",0
"H5","608","PHL","Philippines","02","000","WLD","World",2021,"Gross Exports",1028.71,"Meat and edible meat offal",2,0,"N.Q.",0
"H5","608","PHL","Philippines","02","036","AUS","Australia",2021,"Gross Exports",0.1,"Meat and edible meat offal",2,0,"N.Q.",0
"H5","608","PHL","Philippines","02","048","BHR","Bahrain",2021,"Gross Exports",1.957,"Meat and edible meat offal",2,0,"N.Q.",0
"H5","608","PHL","Philippines","02","096","BRN","Brunei Darsm",2021,"Gross Exports",107.272,"Meat and edible meat offal",2,0,"N.Q.",0
"H5","608","PHL","Philippines","02","344","HKG","Hong Kong",2021,"Gross Exports",8.28,"Meat and edible meat offal",2,0,"N.Q.",0
