"Nomenclature","ReporterCode","ReporterISO3","ReporterName","ProductCode","PartnerCode","PartnerISO3","PartnerName","Year","TradeFlowName","TradeValue in 1000 USD","ProductDescription","TradeFlow","Quantity","ShortName","NetWeight in KGM"
"H5","608","PHL","Philippines","01","000","WLD","World",2022,"Gross Imports",15658.622,"Animals; live",1,0,"N.Q.",
"H5","608","PHL","Philippines","01","036","AUS","Australia",2022,"Gross Imports",12349.14,"Animals; live",1,0,"N.Q.",0
"H5","608","PHL","Philippines","01","040","AUT","Austria",2022,"Gross Imports",0.179,"Animals; live",1,0,"N.Q.",
"H5","608","PHL","Philippines","01","156","CHN","China",2022,"Gross Imports",6.207,"Animals; live",1,0,"N.Q.",0
"H5","608","PHL","Philippines","01","208","DNK","Denmark",2022,"Gross Imports",3078.437,"Animals; live",1,0,"N.Q.",
"H5","608","PHL","Philippines","01","251","FRA","France+Monac",2022,"Gross Imports",0.206,"Animals; live",1,0,"N.Q.",
"H5","608","PHL","Philippines","01","360","IDN","Indonesia",2022,"Gross Imports",7.674,"Animals; live",1,0,"N.Q.",
"H5","608","PHL","Philippines","01","380","ITA","Italy",2022,"Gross Imports",0.53,"Animals; live",1,0,"N.Q.",
"H5","608","PHL","Philippines","01","392","JPN","Japan",2022,"Gross Imports",10,"Animals; live",1,0,"N.Q.",
"H5","608","PHL","Philippines","01","410","KOR","Korea Rep.",2022,"Gross Imports",0.72,"Animals; live",1,0,"N.Q.",
"H5","608","PHL","Philippines","01","554","NZL","New Zealand",2022,"Gross Imports",134.357,"Animals; live",1,0,"N.Q.",
"H5","608","PHL","Philippines","01","704","VNM","Viet Nam",2022,"Gross Imports",2.163,"Animals; live",1,0,"N.Q.",
"H5","608","PHL","Philippines","01","752","SWE","Sweden",2022,"Gross Imports",0.83,"Animals; live",1,0,"N.Q.",
"H5","608","PHL","Philippines","01","842","USA","USA,PR,USVI",2022,"Gross Imports",68.179,"Animals; live",1,0,"N.Q.",
"H5","608","PHL","Philippines","02","000","WLD","World",2022,"Gross Imports",2240446.977,"Meat and edible meat offal",1,0,"N.Q.",0
"H5","608","PHL","Philippines","02","032","ARG","Argentina",2022,"Gross Imports",484.782,"Meat and edible meat offal",1,0,"N.Q.",0
